itemname,category,year,month,itemunit,itemvalue
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,109,10,ug/m3,35.38
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,109,10,ug/m3,13.13
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,109,10,%,0
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,109,10,%,0
AQI>100站日數比率,空氣品質保護,109,10,%,14.84
環保專業人員合格證書有效張數,其他環保統計,109,11,張,237278
環保人員訓練人次,其他環保統計,109,11,人次,1806
環保署環境影響評估報告書完成審查件數,其他環保統計,109,11,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,109,11,件,2
環保署環境影響說明書完成審查件數,其他環保統計,109,11,件,0
環保署環境影響說明書應處理件數,其他環保統計,109,11,件,13
污染源稽查實收罰款金額,其他環保統計,109,11,千元,107460
污染源稽查罰款次數,其他環保統計,109,11,次,28127
污染源稽查次數,其他環保統計,109,11,次,182777
其他對象之公害陳情案件數,公害陳情,109,11,件,5240
一般居民之公害陳情案件數,公害陳情,109,11,件,8812
交通工具之公害陳情案件數,公害陳情,109,11,件,153
營建工程之公害陳情案件數,公害陳情,109,11,件,2723
工業之公害陳情案件數,公害陳情,109,11,件,3607
商業之公害陳情案件數,公害陳情,109,11,件,5169
機關團體學校醫院之公害陳情案件數,公害陳情,109,11,件,288
其他污染公害陳情案件數,公害陳情,109,11,件,79
異味污染物公害陳情案件數,公害陳情,109,11,件,8686
廢棄物及環境衛生公害陳情案件數,公害陳情,109,11,件,6134
噪音公害陳情案件數,公害陳情,109,11,件,9493
水污染公害陳情案件數,公害陳情,109,11,件,601
空氣污染公害陳情案件數,公害陳情,109,11,件,999
公害陳情案件總數,公害陳情,109,11,件,25992
自來水檢驗不合格率,環境衛生及毒化物管理,109,11,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,109,11,公噸,496424
垃圾焚化廠進廠量,廢棄物管理,109,11,公噸,498624
一般廢棄物回收率,廢棄物管理,109,11,%,59.2
衛生掩埋量,廢棄物管理,109,11,公噸,6328
焚化量,廢棄物管理,109,11,公噸,291526
回收再利用量,廢棄物管理,109,11,公噸,461054
一般廢棄物處理量,廢棄物管理,109,11,公噸,758909
平均每人每日廚餘回收量,廢棄物管理,109,11,公斤,0.058
平均每人每日一般廢棄物產生量,廢棄物管理,109,11,公斤,1.102
廚餘回收量,廢棄物管理,109,11,公噸,41127
資源回收量,廢棄物管理,109,11,公噸,419927
一般垃圾量,廢棄物管理,109,11,公噸,317725
一般廢棄物產生量,廢棄物管理,109,11,公噸,778779
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,109,11,公噸/平方公里/月,4.41
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,109,11,ug/m3,0.02
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,109,11,ug/m3,59.02
環保署空氣品質一般測站臭氧濃度,空氣品質保護,109,11,ppm,0.056
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,109,11,ppm,0.011
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,109,11,ppm,0.33
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,109,11,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,109,11,ug/m3,35.42
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,109,11,ug/m3,13.89
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,109,11,%,26.56
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,109,11,%,0
AQI>100站日數比率,空氣品質保護,109,11,%,7.11
環保專業人員合格證書有效張數,其他環保統計,109,12,張,237709
環保人員訓練人次,其他環保統計,109,12,人次,397
環保署環境影響評估報告書完成審查件數,其他環保統計,109,12,件,1
環保署環境影響評估報告書應處理件數,其他環保統計,109,12,件,3
環保署環境影響說明書完成審查件數,其他環保統計,109,12,件,1
環保署環境影響說明書應處理件數,其他環保統計,109,12,件,13
污染源稽查實收罰款金額,其他環保統計,109,12,千元,133100
污染源稽查罰款次數,其他環保統計,109,12,次,27776
污染源稽查次數,其他環保統計,109,12,次,184865
其他對象之公害陳情案件數,公害陳情,109,12,件,5230
一般居民之公害陳情案件數,公害陳情,109,12,件,8277
交通工具之公害陳情案件數,公害陳情,109,12,件,169
營建工程之公害陳情案件數,公害陳情,109,12,件,2783
工業之公害陳情案件數,公害陳情,109,12,件,3570
商業之公害陳情案件數,公害陳情,109,12,件,5307
機關團體學校醫院之公害陳情案件數,公害陳情,109,12,件,331
其他污染公害陳情案件數,公害陳情,109,12,件,119
異味污染物公害陳情案件數,公害陳情,109,12,件,7725
廢棄物及環境衛生公害陳情案件數,公害陳情,109,12,件,6009
噪音公害陳情案件數,公害陳情,109,12,件,10359
水污染公害陳情案件數,公害陳情,109,12,件,463
空氣污染公害陳情案件數,公害陳情,109,12,件,992
公害陳情案件總數,公害陳情,109,12,件,25667
自來水檢驗不合格率,環境衛生及毒化物管理,109,12,%,0.12
垃圾焚化廠焚化(處理)量,廢棄物管理,109,12,公噸,563312
垃圾焚化廠進廠量,廢棄物管理,109,12,公噸,550412
一般廢棄物回收率,廢棄物管理,109,12,%,64.35
衛生掩埋量,廢棄物管理,109,12,公噸,14776
焚化量,廢棄物管理,109,12,公噸,328448
回收再利用量,廢棄物管理,109,12,公噸,608870
一般廢棄物處理量,廢棄物管理,109,12,公噸,952094
平均每人每日廚餘回收量,廢棄物管理,109,12,公斤,0.058
平均每人每日一般廢棄物產生量,廢棄物管理,109,12,公斤,1.295
廚餘回收量,廢棄物管理,109,12,公噸,42175
資源回收量,廢棄物管理,109,12,公噸,566694
一般垃圾量,廢棄物管理,109,12,公噸,337282
一般廢棄物產生量,廢棄物管理,109,12,公噸,946151
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,109,12,公噸/平方公里/月,3.28
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,109,12,ug/m3,0.02
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,109,12,ug/m3,48.36
環保署空氣品質一般測站臭氧濃度,空氣品質保護,109,12,ppm,0.046
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,109,12,ppm,0.012
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,109,12,ppm,0.36
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,109,12,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,109,12,ug/m3,29.43
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,109,12,ug/m3,13.45
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,109,12,%,88.43
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,109,12,%,0
AQI>100站日數比率,空氣品質保護,109,12,%,6.51
環保專業人員合格證書有效張數,其他環保統計,110,1,張,239035
環保人員訓練人次,其他環保統計,110,1,人次,911
環保署環境影響評估報告書完成審查件數,其他環保統計,110,1,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,1,件,2
環保署環境影響說明書完成審查件數,其他環保統計,110,1,件,2
環保署環境影響說明書應處理件數,其他環保統計,110,1,件,13
污染源稽查實收罰款金額,其他環保統計,110,1,千元,87496
污染源稽查罰款次數,其他環保統計,110,1,次,19423
污染源稽查次數,其他環保統計,110,1,次,85344
其他對象之公害陳情案件數,公害陳情,110,1,件,4407
一般居民之公害陳情案件數,公害陳情,110,1,件,8870
交通工具之公害陳情案件數,公害陳情,110,1,件,160
營建工程之公害陳情案件數,公害陳情,110,1,件,2794
工業之公害陳情案件數,公害陳情,110,1,件,3482
商業之公害陳情案件數,公害陳情,110,1,件,5023
機關團體學校醫院之公害陳情案件數,公害陳情,110,1,件,160
其他污染公害陳情案件數,公害陳情,110,1,件,141
異味污染物公害陳情案件數,公害陳情,110,1,件,7276
廢棄物及環境衛生公害陳情案件數,公害陳情,110,1,件,6311
噪音公害陳情案件數,公害陳情,110,1,件,9699
水污染公害陳情案件數,公害陳情,110,1,件,497
空氣污染公害陳情案件數,公害陳情,110,1,件,972
公害陳情案件總數,公害陳情,110,1,件,24896
自來水檢驗不合格率,環境衛生及毒化物管理,110,1,%,0.54
垃圾焚化廠焚化(處理)量,廢棄物管理,110,1,公噸,571568
垃圾焚化廠進廠量,廢棄物管理,110,1,公噸,548125
一般廢棄物回收率,廢棄物管理,110,1,%,58.81
衛生掩埋量,廢棄物管理,110,1,公噸,7457
焚化量,廢棄物管理,110,1,公噸,315904
回收再利用量,廢棄物管理,110,1,公噸,493672
一般廢棄物處理量,廢棄物管理,110,1,公噸,817033
平均每人每日廚餘回收量,廢棄物管理,110,1,公斤,0.056
平均每人每日一般廢棄物產生量,廢棄物管理,110,1,公斤,1.15
廚餘回收量,廢棄物管理,110,1,公噸,41063
資源回收量,廢棄物管理,110,1,公噸,452609
一般垃圾量,廢棄物管理,110,1,公噸,345808
一般廢棄物產生量,廢棄物管理,110,1,公噸,839480
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,110,1,公噸/平方公里/月,3.5
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,110,1,ug/m3,0.02
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,110,1,ug/m3,51.51
環保署空氣品質一般測站臭氧濃度,空氣品質保護,110,1,ppm,0.051
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,110,1,ppm,0.014
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,110,1,ppm,0.39
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,110,1,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,110,1,ug/m3,41.3
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,110,1,ug/m3,20.03
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,110,1,%,92.69
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,110,1,%,0
AQI>100站日數比率,空氣品質保護,110,1,%,16.18
環保專業人員合格證書有效張數,其他環保統計,110,2,張,239623
環保人員訓練人次,其他環保統計,110,2,人次,610
環保署環境影響評估報告書完成審查件數,其他環保統計,110,2,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,2,件,4
環保署環境影響說明書完成審查件數,其他環保統計,110,2,件,0
環保署環境影響說明書應處理件數,其他環保統計,110,2,件,15
污染源稽查實收罰款金額,其他環保統計,110,2,千元,77560
污染源稽查罰款次數,其他環保統計,110,2,次,11401
污染源稽查次數,其他環保統計,110,2,次,87855
其他對象之公害陳情案件數,公害陳情,110,2,件,4472
一般居民之公害陳情案件數,公害陳情,110,2,件,8327
交通工具之公害陳情案件數,公害陳情,110,2,件,141
營建工程之公害陳情案件數,公害陳情,110,2,件,1778
工業之公害陳情案件數,公害陳情,110,2,件,2786
商業之公害陳情案件數,公害陳情,110,2,件,4284
機關團體學校醫院之公害陳情案件數,公害陳情,110,2,件,140
其他污染公害陳情案件數,公害陳情,110,2,件,80
異味污染物公害陳情案件數,公害陳情,110,2,件,6907
廢棄物及環境衛生公害陳情案件數,公害陳情,110,2,件,6048
噪音公害陳情案件數,公害陳情,110,2,件,7611
水污染公害陳情案件數,公害陳情,110,2,件,527
空氣污染公害陳情案件數,公害陳情,110,2,件,755
公害陳情案件總數,公害陳情,110,2,件,21928
自來水檢驗不合格率,環境衛生及毒化物管理,110,2,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,110,2,公噸,517232
垃圾焚化廠進廠量,廢棄物管理,110,2,公噸,527317
一般廢棄物回收率,廢棄物管理,110,2,%,58.04
衛生掩埋量,廢棄物管理,110,2,公噸,7611
焚化量,廢棄物管理,110,2,公噸,291208
回收再利用量,廢棄物管理,110,2,公噸,458560
一般廢棄物處理量,廢棄物管理,110,2,公噸,757378
平均每人每日廚餘回收量,廢棄物管理,110,2,公斤,0.062
平均每人每日一般廢棄物產生量,廢棄物管理,110,2,公斤,1.198
廚餘回收量,廢棄物管理,110,2,公噸,40767
資源回收量,廢棄物管理,110,2,公噸,417793
一般垃圾量,廢棄物管理,110,2,公噸,330413
一般廢棄物產生量,廢棄物管理,110,2,公噸,790062
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,110,2,公噸/平方公里/月,3.21
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,110,2,ug/m3,0.02
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,110,2,ug/m3,70.86
環保署空氣品質一般測站臭氧濃度,空氣品質保護,110,2,ppm,0.06
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,110,2,ppm,0.013
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,110,2,ppm,0.37
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,110,2,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,110,2,ug/m3,45.4
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,110,2,ug/m3,22.82
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,110,2,%,83.41
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,110,2,%,0
AQI>100站日數比率,空氣品質保護,110,2,%,26.9
環保專業人員合格證書有效張數,其他環保統計,110,3,張,240012
環保人員訓練人次,其他環保統計,110,3,人次,2160
環保署環境影響評估報告書完成審查件數,其他環保統計,110,3,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,110,3,件,5
環保署環境影響說明書完成審查件數,其他環保統計,110,3,件,0
環保署環境影響說明書應處理件數,其他環保統計,110,3,件,16
污染源稽查實收罰款金額,其他環保統計,110,3,千元,94146
污染源稽查罰款次數,其他環保統計,110,3,次,26579
污染源稽查次數,其他環保統計,110,3,次,112308
其他對象之公害陳情案件數,公害陳情,110,3,件,5047
一般居民之公害陳情案件數,公害陳情,110,3,件,9454
交通工具之公害陳情案件數,公害陳情,110,3,件,183
營建工程之公害陳情案件數,公害陳情,110,3,件,2848
工業之公害陳情案件數,公害陳情,110,3,件,4017
商業之公害陳情案件數,公害陳情,110,3,件,4906
機關團體學校醫院之公害陳情案件數,公害陳情,110,3,件,251
其他污染公害陳情案件數,公害陳情,110,3,件,129
異味污染物公害陳情案件數,公害陳情,110,3,件,7718
廢棄物及環境衛生公害陳情案件數,公害陳情,110,3,件,7279
噪音公害陳情案件數,公害陳情,110,3,件,9865
水污染公害陳情案件數,公害陳情,110,3,件,646
空氣污染公害陳情案件數,公害陳情,110,3,件,1069
公害陳情案件總數,公害陳情,110,3,件,26706
自來水檢驗不合格率,環境衛生及毒化物管理,110,3,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,110,3,公噸,508814
垃圾焚化廠進廠量,廢棄物管理,110,3,公噸,526292
一般廢棄物回收率,廢棄物管理,110,3,%,62.68
衛生掩埋量,廢棄物管理,110,3,公噸,7962
焚化量,廢棄物管理,110,3,公噸,292740
回收再利用量,廢棄物管理,110,3,公噸,536049
一般廢棄物處理量,廢棄物管理,110,3,公噸,836751
平均每人每日廚餘回收量,廢棄物管理,110,3,公斤,0.06
平均每人每日一般廢棄物產生量,廢棄物管理,110,3,公斤,1.172
廚餘回收量,廢棄物管理,110,3,公噸,43974
資源回收量,廢棄物管理,110,3,公噸,492074
一般垃圾量,廢棄物管理,110,3,公噸,318031
一般廢棄物產生量,廢棄物管理,110,3,公噸,855210
